entry_order,contig,cont,site,SP_1,SP_2,SP_3,SP_4,SP_5,SP_6,SP_7,SP_8,SP_9,SP_10,SP_11,SP_12,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20,N_21,N_22,N_23,N_24,N_25,N_26,N_27,N_28,N_29,N_30,N_31,N_32,N_33,N_34,N_35,N_36,N_37,N_38,N_39,N_40,N_41,N_42,N_43,N_44,N_45,N_46,N_47,N_48,N_49,N_50,N_51,N_52,N_53,N_54,N_55,N_56,N_57,N_58,N_59,N_60,N_61,N_62,N_63,N_64,N_65,N_66,N_67,N_68,ARC_1,ARC_2,ARC_3,ARC_4,ARC_5,ARC_6,ARC_7,ARC_8,ARC_9,ARC_10,ARC_11,ARC_12,ARC_13,ARC_14,ARC_15,ARC_16,ARC_17,ARC_18,ARC_19,ARC_20,ARC_21,ARC_22,ARC_23,ARC_24,C_1,C_2,C_3,C_4,count_ref,p_ref,count_ref_brood,count_ref_egg,count_alt_brood,count_alt_egg,p_ref_brood,p_ref_egg,p_alt_brood,p_alt_egg,freq_diff,pvt_in,count_ref_spain,count_alt_spain,count_ref_north,count_alt_north,p_pref_spain,p_alt_spain,p_ref_north,p_alt_north,pvt_spain_north
4410,Contig60406,4410,1866,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,0.050925926,11,0,149,56,0.06875,0,0.93125,1,0.06875,brood,0,24,11,125,0,1,0.080882353,0.919117647,north
2738,Contig47979,2738,10949,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,0,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,0.069444444,15,0,145,56,0.09375,0,0.90625,1,0.09375,brood,0,24,15,121,0,1,0.110294118,0.889705882,north
6819,Contig81225,6819,31416,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17,0.078703704,17,0,143,56,0.10625,0,0.89375,1,0.10625,brood,0,24,17,119,0,1,0.125,0.875,north
5849,Contig76495,5849,2431,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0.337962963,17,56,143,0,0.10625,1,0.89375,0,0.89375,brood,0,24,17,119,0,1,0.125,0.875,north
7392,Contig81225,7392,74500,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19,0.087962963,19,0,141,56,0.11875,0,0.88125,1,0.11875,brood,0,24,19,117,0,1,0.139705882,0.860294118,north
8678,Contig110028,8678,2664,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,0,1,2,1,2,1,1,1,2,2,0,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19,0.087962963,19,0,141,56,0.11875,0,0.88125,1,0.11875,brood,0,24,19,117,0,1,0.139705882,0.860294118,north
4944,Contig60406,4944,30304,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,0.101851852,22,0,138,56,0.1375,0,0.8625,1,0.1375,brood,0,24,22,114,0,1,0.161764706,0.838235294,north
6535,Contig81225,6535,10774,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,0,1,0,0,0,1,1,0,1,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,1,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,0.12962963,28,0,132,56,0.175,0,0.825,1,0.175,brood,0,24,28,108,0,1,0.205882353,0.794117647,north
6562,Contig81225,6562,21074,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,0,1,0,0,0,0,1,1,1,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,1,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,0.12962963,28,0,132,56,0.175,0,0.825,1,0.175,brood,0,24,28,108,0,1,0.205882353,0.794117647,north
5828,Contig76495,5828,2153,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,0,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,2,2,2,0,2,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,53,0.24537037,53,0,107,56,0.33125,0,0.66875,1,0.33125,brood,24,0,29,107,1,0,0.213235294,0.786764706,north
1528,Contig9868,1528,941,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,0,0,2,1,2,2,0,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0,0,2,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,39,0.180555556,39,0,121,56,0.24375,0,0.75625,1,0.24375,brood,0,24,39,97,0,1,0.286764706,0.713235294,north
3215,Contig52055,3215,14909,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,0,2,1,1,0,0,1,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,1,0,1,2,1,2,2,1,0,2,2,2,1,1,1,0,1,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,43,0.199074074,43,0,117,56,0.26875,0,0.73125,1,0.26875,brood,0,24,43,93,0,1,0.316176471,0.683823529,north
3389,Contig52509,3389,30130,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,0,1,1,1,1,1,0,0,2,1,1,2,2,2,2,1,2,2,2,2,1,2,0,2,1,0,0,0,2,2,2,2,0,2,1,2,1,0,2,1,2,2,1,2,1,1,2,2,2,2,2,0,0,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49,0.226851852,49,0,111,56,0.30625,0,0.69375,1,0.30625,brood,0,24,49,87,0,1,0.360294118,0.639705882,north
5829,Contig76495,5829,2154,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,2,1,1,0,1,2,2,2,2,1,2,2,1,0,2,1,1,0,1,1,1,1,0,2,2,1,1,2,2,1,1,1,2,1,1,2,1,2,0,0,2,2,0,1,2,1,1,1,1,2,1,2,2,1,2,2,2,0,2,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,73,0.337962963,73,0,87,56,0.45625,0,0.54375,1,0.45625,brood,24,0,49,87,1,0,0.360294118,0.639705882,north
3207,Contig52055,3207,13180,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,1,2,2,0,2,1,1,0,0,1,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,1,0,1,2,1,2,2,0,0,2,2,1,1,1,1,0,1,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0.597222222,73,56,87,0,0.45625,1,0.54375,0,0.54375,brood,24,0,49,87,1,0,0.360294118,0.639705882,north
3209,Contig52055,3209,13207,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,1,2,2,0,2,1,1,0,0,1,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,1,0,1,2,1,2,2,0,0,2,2,1,1,1,1,0,1,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0.597222222,73,56,87,0,0.45625,1,0.54375,0,0.54375,brood,24,0,49,87,1,0,0.360294118,0.639705882,north
3282,Contig52055,3282,17307,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,1,2,2,0,2,1,1,0,0,1,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,1,0,1,1,1,2,2,0,0,2,2,1,1,1,1,0,1,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0.597222222,73,56,87,0,0.45625,1,0.54375,0,0.54375,brood,24,0,49,87,1,0,0.360294118,0.639705882,north
3293,Contig52055,3293,17636,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,1,2,2,0,2,1,1,0,0,1,2,1,2,2,1,1,2,2,1,2,2,2,1,1,2,1,0,1,2,1,2,2,0,0,2,2,1,1,1,1,0,1,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0.601851852,74,56,86,0,0.4625,1,0.5375,0,0.5375,brood,24,0,50,86,1,0,0.367647059,0.632352941,north
1490,Contig7286,1490,6531,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,1,1,1,1,2,2,2,1,0,1,1,1,0,0,2,2,0,0,0,1,2,1,1,0,0,1,2,1,2,0,2,2,0,1,0,0,0,0,1,0,1,2,2,2,0,1,0,0,1,2,1,0,1,2,1,1,0,2,1,1,2,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,75,0.347222222,75,0,85,56,0.46875,0,0.53125,1,0.46875,brood,0,24,75,61,0,1,0.551470588,0.448529412,north
1423,Contig7286,1423,4362,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,1,1,1,1,2,2,2,1,0,1,1,1,0,0,2,2,0,0,0,1,1,1,1,0,0,0,2,1,2,0,2,2,0,1,0,0,0,0,1,0,1,2,2,2,0,1,0,0,1,2,1,0,0,2,1,1,0,2,1,1,2,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,77,0.356481481,77,0,83,56,0.48125,0,0.51875,1,0.48125,brood,0,24,77,59,0,1,0.566176471,0.433823529,north
491,Contig2118,491,106136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,2,1,0,1,0,2,1,2,0,1,1,1,2,1,1,2,1,1,1,1,0,2,0,1,0,1,0,2,1,1,2,1,1,1,1,1,0,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,101,0.467592593,101,0,59,56,0.63125,0,0.36875,1,0.63125,brood,24,0,77,59,1,0,0.566176471,0.433823529,north
7523,Contig81547,7523,7825,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,2,0,2,1,1,1,1,2,1,1,2,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,2,1,0,2,1,0,2,2,0,1,0,1,1,1,1,0,1,1,1,2,0,2,0,1,0,1,1,1,0,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,105,0.486111111,105,0,55,56,0.65625,0,0.34375,1,0.65625,brood,24,0,81,55,1,0,0.595588235,0.404411765,north
1385,Contig3970,1385,2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,2,1,0,0,2,2,1,1,1,2,0,0,1,2,0,1,0,0,1,2,0,0,1,1,2,1,2,1,2,2,2,2,2,2,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0.75,106,56,54,0,0.6625,1,0.3375,0,0.3375,brood,24,0,82,54,1,0,0.602941176,0.397058824,north
1083,Contig3802,1083,13092,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0.759259259,108,56,52,0,0.675,1,0.325,0,0.325,brood,24,0,84,52,1,0,0.617647059,0.382352941,north
5968,Contig76495,5968,9723,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,2,1,0,1,1,0,1,0,2,2,2,1,1,0,2,1,0,1,0,0,0,2,0,2,0,1,1,0,1,0,0,1,0,2,0,2,2,2,1,0,0,0,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0.773148148,111,56,49,0,0.69375,1,0.30625,0,0.30625,brood,24,0,87,49,1,0,0.639705882,0.360294118,north
83,Contig1261,83,128212,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,1,0,1,1,2,0,2,0,0,2,0,2,1,1,1,1,1,1,2,0,2,0,0,1,0,1,0,0,1,0,1,1,1,0,1,2,1,2,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,91,0.421296296,91,0,69,56,0.56875,0,0.43125,1,0.56875,brood,0,24,91,45,0,1,0.669117647,0.330882353,north
2839,Contig47979,2839,14041,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,2,2,2,2,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2,2,2,2,0,1,0,2,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0.796296296,116,56,44,0,0.725,1,0.275,0,0.275,brood,24,0,92,44,1,0,0.676470588,0.323529412,north
3263,Contig52055,3263,16940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,2,2,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,1,2,2,0,0,0,2,2,1,2,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0.796296296,116,56,44,0,0.725,1,0.275,0,0.275,brood,24,0,92,44,1,0,0.676470588,0.323529412,north
